iter	Recall	Logloss
0	0.4658223056	0.6928982893
1	0.4509760353	0.6926512458
2	0.4453551913	0.6924024165
3	0.4479969057	0.692146434
4	0.4453551913	0.6918900143
5	0.4460382514	0.6916330695
6	0.4459477253	0.6913862652
7	0.4451494503	0.6911436231
8	0.4439479228	0.6909083439
9	0.43989894	0.6906660488
10	0.4405243927	0.6904192775
11	0.4414214234	0.6901795387
12	0.4416683126	0.6899358088
13	0.4413226677	0.6897059235
14	0.4432484034	0.6894661367
15	0.4421703206	0.6892133362
16	0.4422361577	0.6889765052
17	0.4414954902	0.6887352473
18	0.4411416156	0.6884961356
19	0.4406149187	0.6882522806
20	0.4410675489	0.6880234858
